Generation # 8,0,0,1,0,0,| Fittest Chromosome Fitness,2.7087359633938797
chromosome #0,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #1,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #2,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #3,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #4,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #5,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #6,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #7,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #8,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #9,0,0,0,0,0,| Fitness,0.0
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 9,0,0,1,0,0,| Fittest Chromosome Fitness,2.7087359633938797
chromosome #0,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #1,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #2,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #3,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #4,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #5,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #6,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #7,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #8,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #9,0,0,0,0,0,| Fitness,0.0
